,Feature,Importance
1055,EtaCompositeIndex.2,0
1056,EtaCompositeIndex.3,0
1057,EtaCompositeIndex.4,0
1058,EtaCompositeIndex.5,1
1059,EtaCompositeIndex.6,0
1060,EtaCompositeIndex.7,1
1061,EtaFunctionalityIndex,1
1062,EtaFunctionalityIndex.1,4
1063,EtaFunctionalityIndex.2,0
1064,EtaFunctionalityIndex.3,0
1065,EtaBranchingIndex,0
1066,EtaBranchingIndex.1,2
1067,EtaBranchingIndex.2,0
1068,EtaBranchingIndex.3,0
1069,EtaDeltaAlpha,0
1070,EtaDeltaAlpha.1,1
1071,EtaEpsilon,0
1072,EtaEpsilon.1,0
1073,EtaEpsilon.2,0
1074,EtaEpsilon.3,7
1075,EtaEpsilon.4,0
1076,EtaDeltaEpsilon,0
1077,EtaDeltaEpsilon.1,0
1078,EtaDeltaEpsilon.2,4
1079,EtaDeltaEpsilon.3,2
1080,EtaDeltaBeta,0
1081,EtaDeltaBeta.1,0
1082,EtaPsi,1
1083,EtaDeltaPsi,0
1084,EtaDeltaPsi.1,0
1085,FragmentComplexity,0
1086,Framework,10
1087,HBondAcceptor,0
1088,HBondDonor,0
1089,InformationContent,5
1090,InformationContent.1,3
1091,InformationContent.2,1
1092,InformationContent.3,1
1093,InformationContent.4,0
1094,InformationContent.5,2
1095,TotalIC,0
1096,TotalIC.1,0
1097,TotalIC.2,0
1098,TotalIC.3,0
1099,TotalIC.4,1
1100,TotalIC.5,6
1101,StructuralIC,2
1102,StructuralIC.1,0
1103,StructuralIC.2,8
1104,StructuralIC.3,2
1105,StructuralIC.4,0
1106,StructuralIC.5,0
1107,BondingIC,5
1108,BondingIC.1,3
1109,BondingIC.2,4
1110,BondingIC.3,0
1111,BondingIC.4,0
1112,BondingIC.5,3
1113,ComplementaryIC,1
1114,ComplementaryIC.1,3
1115,ComplementaryIC.2,4
1116,ComplementaryIC.3,1
1117,ComplementaryIC.4,0
1118,ComplementaryIC.5,6
1119,ModifiedIC,6
1120,ModifiedIC.1,2
1121,ModifiedIC.2,3
1122,ModifiedIC.3,3
1123,ModifiedIC.4,4
1124,ModifiedIC.5,10
1125,ZModifiedIC,0
1126,ZModifiedIC.1,4
1127,ZModifiedIC.2,7
1128,ZModifiedIC.3,2
1129,ZModifiedIC.4,5
1130,ZModifiedIC.5,1
1131,KappaShapeIndex1,0
1132,KappaShapeIndex2,0
1133,KappaShapeIndex3,5
1134,LogS,17
1135,McGowanVolume,1
1136,LabuteASA,0
1137,PEOE_VSA,0
1138,PEOE_VSA.1,0
1139,PEOE_VSA.2,1
1140,PEOE_VSA.3,0
1141,PEOE_VSA.4,0
1142,PEOE_VSA.5,32
1143,PEOE_VSA.6,9
1144,PEOE_VSA.7,9
